image,repo,age_days,pull_count,size_mb,n_tags,packages,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_total,secrets,misconfig,malware
photon@sha256:c9c8805e97bf241c193b4d02ea395bc90386cdbba24b8cc7028ade43cf19b85c,library/photon,892,18468774,15.9,1,36,16,140,148,20,324,0,3,0
photon@sha256:e93346a8cb75b85ad7d8502345b867440aa0c75cba6a2ae7d039a45b5e334a5d,library/photon,885,18468774,15.9,1,36,16,140,148,20,324,0,3,0
photon@sha256:5f93c4e83e7fbdc7b95d910eaaa9eb5c9ef15fc826bfce5056bdb2002eea0d6a,library/photon,864,18468774,15.9,1,36,16,140,148,20,324,0,3,0
photon@sha256:5d98acfc7ea4811620d0ce8c28289cbaea316618e6de8dcf7fc587527a7a9737,library/photon,856,18468774,15.9,1,36,16,138,146,20,320,0,3,0
photon@sha256:6373b03ab4674c7248e32d19f331acf86eb695bcc41c08de4abfd8c26867d696,library/photon,850,18468774,15.9,1,36,16,136,146,20,318,0,3,0
photon@sha256:500a0b94be282989b04b8b9091bc67a11aaae8e54923634a75fdadb93a36d7cd,library/photon,835,18468774,15.9,1,36,16,128,142,20,306,0,3,0
photon@sha256:4e8442697c9f98751a3d3dc053bd9bd87477260cef43c4ad251a4965f6f9092c,library/photon,828,18468774,15.9,1,36,16,128,140,20,304,0,3,0
photon@sha256:89ea7394ae0a090b945778c10e4fb5a0bb82fc08cc2790a50622bf6caf19396d,library/photon,821,18468774,15.9,1,36,16,128,140,20,304,0,3,0
photon@sha256:25746c5291efd1d7886a78d736ea563ec1f6a8d72fdfa6da05fd526767a8963b,library/photon,808,18468774,16.0,1,36,16,126,138,20,300,0,3,0
photon@sha256:939fc28b5ee7ef8c146b78cfbcc4150970a46709e83e4ba45538272b84c41098,library/photon,800,18468774,16.0,1,36,16,126,138,20,300,0,3,0
photon@sha256:055d974fb9f43aae0475c6586a6bc77d0d8305441f00e7b8500cde3235d83c16,library/photon,787,18468774,16.0,1,36,16,124,138,20,298,0,3,0
photon@sha256:9715c4839181ed92ddb8308fe785748ed5c20ef15bc949a2fe73a51893988bed,library/photon,780,18468774,16.0,1,36,16,120,136,16,288,0,3,0
photon@sha256:e069b45d18067e10b09b2a2ed35937591c4b907c3d1b8792f45ce394bf7b57b2,library/photon,770,18468774,16.0,1,36,16,120,134,16,286,0,3,0
photon@sha256:f320ff758dd7006e2b91026e0b21159389d3c204e41c53d86ca2ae9abe1790b7,library/photon,759,18468774,16.0,1,36,16,116,134,16,282,0,4,0
rockylinux/rockylinux@sha256:8ee8db72e4a6da93dfc62ef3ac7447dc8a4b1292e9d824eacbaa78abe43371b7,rockylinux/rockylinux,5,5758674,7.5,1,23,0,1,16,8,25,0,3,0
rockylinux/rockylinux@sha256:c1648e5c6ef76f0e05ca81ba37cad776cb4308e78770aa3b862da1a6ddf9d54e,rockylinux/rockylinux,164,5758674,92.1,3,163,4,68,259,284,617,3,4,4
rockylinux@sha256:199d86401aadca6156db91a77deb93e324ec28bb5a2ac068e6f3fd17dd648975,library/rockylinux,1401,42704179,50.3,2,130,0,138,430,185,753,7,4,4
rockylinux/rockylinux@sha256:57595b7ba5d7189cc0e749a7dd0324216cbedbca2272187f50f4f3783ad06d7d,rockylinux/rockylinux,1402,5758674,50.3,2,130,0,138,452,185,775,7,4,4
rockylinux@sha256:c6b3542caf6b29f0255a6b16ea02e892026b52083d8b5ff843984ca4bc7511b1,library/rockylinux,1407,42704179,50.3,1,130,0,138,452,185,775,7,4,4
rockylinux@sha256:3baefb1ef591bddce5dd8e01bf571647af86b2105731ace78eaf35073de6c20a,library/rockylinux,1407,42704179,73.2,1,160,4,192,653,409,1263,7,4,5
rockylinux/rockylinux@sha256:59235b143a5b4b369d4b8c927e69631b87de8ad3dc1ac1b20cb222504b08cd94,rockylinux/rockylinux,1402,5758674,73.2,2,160,4,192,652,409,1262,7,4,5
rockylinux@sha256:67af50a4a73bbfaf5453d76f2c1cd5e86d915d4620ca58b5139702e4bbb8e6d5,library/rockylinux,1401,42704179,73.2,2,160,4,192,626,408,1235,7,4,5
rockylinux@sha256:cb2880d11de5d5e4eed8fff85e47d348c1ca03d090847a93d968be3f5bcfd849,library/rockylinux,1185,42704179,46.6,2,118,0,119,311,178,608,5,4,3
rockylinux/rockylinux@sha256:eef92cb0e15ab2d85172e3bc2e30af31546c474f3e10231b277a0da34d251e75,rockylinux/rockylinux,1186,5758674,48.3,2,118,0,119,311,178,608,5,4,3
rockylinux/rockylinux@sha256:d303f457955876b05fb0b17e05e9f43954e7d817f7b86c6bbb99f2ca56ec928d,rockylinux/rockylinux,1186,5758674,76.4,2,163,4,171,527,404,1111,7,4,5
rockylinux/rockylinux@sha256:4cd5372dd0bf9f919b5b2747ab25990ca07d4eac367cc6ab727a793205751a82,rockylinux/rockylinux,1271,5758674,38.1,1,103,0,92,284,143,519,5,3,3
rockylinux@sha256:56ff83a01a4b1eab9c86133a1432b48ad5a4bc3d6853de18e85cb119db91e83a,library/rockylinux,1249,42704179,36.8,1,103,0,92,284,143,519,5,3,3
rockylinux/rockylinux@sha256:229907abb2fa1bbb9f9a921df2c312621d7c985763f8a7d9d79a1a2162c13517,rockylinux/rockylinux,1271,5758674,76.5,1,163,4,175,563,406,1153,7,4,5
rockylinux/rockylinux@sha256:09768342ad2af2ca43cfb7aaaa0a1d10aad6c3077104b68021eaf50f6815bafb,rockylinux/rockylinux,1271,5758674,60.7,1,136,4,145,477,372,1003,5,4,4
centos@sha256:dead07b4d8ed7e29e98de0f4504d87e8880d4347859d839686a31da35a3b532f,library/centos,1709,1182553689,76.1,4,159,10,151,1406,1337,2909,11,4,10
centos@sha256:9e0c275e0bcb495773b10a18e499985d782810e47b4fce076422acb4bc3da3dd,library/centos,2316,1182553689,73.2,2,176,12,248,1360,774,2403,12,4,4
centos@sha256:fd84102fc72960dd1b8da0ee3b4c13e3b0c1d2a085de118bc4c97821cd986e02,library/centos,2165,1182553689,74.9,2,175,9,236,1272,745,2269,9,4,4
centos@sha256:dbbacecc49b088458781c16f3775f2a2ec7521079034a7ba499c8b0bb7f86875,library/centos,1991,1182553689,75.2,2,175,9,216,1182,729,2143,10,4,4
centos@sha256:a1801b843b1bfaf77c501e7a6d3f709401a1e0c83863037fa3aab063a7fdb9dc,library/centos,1709,1182553689,83.5,4,183,9,202,1086,700,2004,9,4,5
cirros@sha256:96137d51e0e46006243fa2403723eb47f67818802d1175b5cde7eaa7f19446bd,library/cirros,2692,6893871,4.9,2,2,18,39,34,7,98,0,5,1
cirros@sha256:639af3aa2828aa4efa3e27b06857552fe2db74eed4bc107bedb23a6122493d21,library/cirros,2269,6893871,6.0,1,2,4,27,30,9,70,0,5,1
cirros@sha256:c7d58d6d463247a2540b8c10ff012c34fd443426462e891b13119a9c66dfd28a,library/cirros,2267,6893871,6.0,1,2,4,27,30,9,70,0,5,1
cirros@sha256:483f15ac97d03dc3d4dcf79cf71ded2e099cf76c340f3fdd0b3670a40a198a22,library/cirros,1900,6893871,6.0,1,2,4,27,30,9,70,0,5,1
cirros@sha256:ea1b3ba6b9d1d20b858911993c1afa2771e1d29c4189a2015736d5cca45eb864,library/cirros,1085,6893871,6.0,2,2,4,27,30,9,70,0,5,1
cirros@sha256:0662cbfec701ab323cb152cd9753886fd24ac9828338afd8662e1cbe8540405f,library/cirros,1085,6893871,7.4,1,3,3,14,26,8,51,0,5,1
cirros@sha256:04469d1f7155e892eaa5cc0d774b4c8f499dd9f1d2df92c91505775b8b975abc,library/cirros,1276,6893871,7.4,1,3,3,14,26,8,51,0,5,1
cirros@sha256:7ba1f5bc57923f65c99677e53758d386320ed699b621d9630b1f2bd7ceb3a878,library/cirros,883,6893871,7.4,1,3,3,14,26,8,51,0,5,1
debian@sha256:6f6733b0c923e0135f82bd2bb2c836ebf3148606acade01df8817b70201db16f,library/debian,128,1625572102,48.8,1,77,15,111,165,16,360,1,4,2
debian@sha256:de1044b51e1227216b6b6fd9fbbc05c742e35934080f0e477fd5309818b2bf8a,library/debian,107,1625572102,48.7,1,77,15,86,133,16,303,1,4,2
debian@sha256:2fce59abaede589d306e8b1c4e204a71c6604a9c8a5867b8a75365da79ba7f81,library/debian,86,1625572102,48.7,1,77,15,86,133,16,303,1,4,2
debian@sha256:7bb4d1ed7579416f9487939a83c0b99b9176d77122708440be0aa1da6276a5c7,library/debian,66,1625572102,48.7,1,76,15,78,113,16,275,1,4,2
debian@sha256:d0c0e9bd9a6d6be310d6ca64aa28c0e2f6788ea52eb7941de77395a7378f0501,library/debian,44,1625572102,48.7,1,76,15,75,97,16,256,1,4,2
debian@sha256:02fa1142f2a4ff108cc4f5c54421d118c8a63361fb31ab616ec11ffd9ce0da67,library/debian,29,1625572102,48.7,1,76,11,56,92,16,227,1,4,2
debian@sha256:486a0bfbf3fd76326482800b12bfd0b9d05fc39f898c04a32fd560b1686c64ec,library/debian,13,1625572102,48.7,1,76,11,56,92,15,227,1,4,2
debian@sha256:bb7d1223b7c2f3d4478af06621311a9a24a0f1922240ebf8896e8b95e72d4ba4,library/debian,2,1625572102,48.7,2,76,11,56,92,15,227,1,4,2
debian@sha256:97bf691c097052e2dfdd70bf8ae66b9cca2e98ecc3f079c9828ddbf2c1f2363c,library/debian,3270,1625572102,45.3,1,82,82,209,147,109,698,2,4,3
debian@sha256:9fe6a357825bb709cb8817712d5662156637fa4ee1c514c3c590234a7652bfb6,library/debian,3257,1625572102,45.2,1,82,82,207,141,109,686,2,4,3
debian@sha256:c5e3138644b0b6116f95c05b211ac2a456f575c200b4edac5878d78144aebef4,library/debian,3223,1625572102,48.4,1,92,426,1511,1784,531,5293,2,4,3
debian@sha256:fc88068079a3ddfe610648687f48b60633ebd6bd7853cb16e5970f95d2df60ff,library/debian,3172,1625572102,47.8,1,93,426,1473,1623,539,5124,2,4,3
debian@sha256:0e111d03bc7bdce192799997d096e11f2198668bf720dbb251fecab9142bee91,library/debian,3120,1625572102,47.6,1,92,403,1445,1621,534,5060,2,4,3
debian@sha256:7817404e14b3d15d993bfae338d7406ac5fbc021e0216716f965bf90201e9969,library/debian,3083,1625572102,48.4,1,93,403,1403,1597,480,4946,2,4,3
